id,name,artist,genres,link,img_link,mc_rating,usr_rating
24c10ae9-a3b7-4de5-b31f-9e46752512f4,Jumping the Tracks,+/-,"{Pop/Rock,'"Alternative/Indie Rock'",'"Indie Rock'"}",/music/jumping-the-tracks/+-,http://static.metacritic.com/images/products/music/5/88c02f8c88bf346e7d8f1d0eec0e6206-98.jpg,73,
4a7d0a72-a6be-4343-89ed-af853e16d928,Twice Told Tales,"10,000 Maniacs","{Pop/Rock,'"Adult Alternative'",'"Alternative/Indie Rock'"}",/music/twice-told-tales/10000-maniacs,http://static.metacritic.com/images/products/music/8/dce35789b5da8ad28a1d6300c65b097d-98.jpg,57,
7d8c49fb-3aef-4d19-a96a-76eab5028ad1,Tenology [Boxset],10cc,"{Pop/Rock,'"Contemporary Pop/Rock'",'"Album Rock'"}",/music/tenology-boxset/10cc,http://static.metacritic.com/images/products/music/7/fd95d97fdc4dc7156c9410278d7a9294-98.jpg,79,
673ac2c3-e9a9-4309-b3cc-8eba2d4f311a,"120 Days, Vol. 2",120 Days,"{Electronic,Pop/Rock}",/music/120-days-vol-2/120-days,http://static.metacritic.com/images/products/music/3/cdec728efe51886268a367c576afec01-98.jpg,53,
da47e5f7-d238-4130-a6c6-facf8a8b3d98,13 & God,13 & God,"{Indie,Rock,Electronic}",/music/13-god/13-god,http://static.metacritic.com/images/products/music/9/bfacc0361ef24d5ae86a2b6b2c5e9afd-98.jpg,80,7.9
9c8d7041-678b-455e-9d48-9e7d7e2899b7,Own Your Ghost,13 & God,"{Electronic,Pop/Rock,'"Alternative/Indie Rock'"}",/music/own-your-ghost/13-god,http://static.metacritic.com/images/products/music/2/6893cee67f313b48ac9b92284b360178-98.jpg,74,
56fea120-d2aa-42c3-9502-ec9e7e649f6f,Secret South,16 Horsepower,"{Indie,Rock,Alternative}",/music/secret-south/16-horsepower,http://static.metacritic.com/images/products/music/1/739ea2266f9cd6c1f7868e81454c4ef7-98.jpg,82,
1ee48f31-b5f6-40c3-bf8e-a1c3222ad781,Folklore,16 Horsepower,"{Indie,Rock,Alt-Country}",/music/folklore/16-horsepower,http://static.metacritic.com/images/products/music/4/2f640103c6cb71542f8119330694ff8e-98.jpg,82,8
470e3460-fcbe-4b79-a6ad-405d67bf87c3,Cookies,1990s,"{Indie,Rock}",/music/cookies/1990s,http://static.metacritic.com/images/products/music/4/fcf63a94a309167e2ea101d16dc2acf8-98.jpg,74,8.7
8d86687a-2952-4713-b908-64da914b45db,Kicks,1990s,"{Indie,Rock}",/music/kicks/1990s,http://static.metacritic.com/images/products/music/1/c0819132500ed8a31d04f2a1527ee1bf-98.jpg,65,8.8
1be319c7-e582-4744-aa31-7b29b66168a8,Based on a T.R.U. Story,2 Chainz,"{'"Gangsta Rap'",'"Southern Rap'"}",/music/based-on-a-tru-story/2-chainz,http://static.metacritic.com/images/products/music/5/9c028a127dd7f256e74372d6d184e562-98.jpg,55,4.8
55d0c049-e18e-42fe-be3f-591df9dd1b0a,B.O.A.T.S. II: #METIME,2 Chainz,"{'"Southern Rap'",'"Hardcore Rap'"}",/music/boats-ii-metime/2-chainz,http://static.metacritic.com/images/products/music/7/0fcbfc5e8174f304d4613f678198a469-98.jpg,67,5.3
9a920aef-5b0f-49a9-8e6a-85a251063618,Freebase [EP],2 Chainz,{Rap},/music/freebase-ep/2-chainz,http://static.metacritic.com/images/products/music/0/1da5a516ce96b554a32b92912338f35b-98.jpg,75,8.9
ad126cff-2bf3-4870-ad68-9b648f85009e,Collegrove,2 Chainz,{Rap},/music/collegrove/2-chainz,http://static.metacritic.com/images/products/music/9/b5f1ba106bffdf2e2e30a4c9192177b4-98.jpg,66,7.2
e7abc3d9-0392-4815-82ca-4eaefd83b226,Champions,2 Chainz,{Rap},/music/champions/kanye-west,http://static.metacritic.com/images/products/music/53w-release.jpg,,
b703cd6b-d9aa-4a43-ab6f-596acf19b942,Pretty Girls Like Trap Music,2 Chainz,"{Rap,Pop/Rock,'"Southern Rap'"}",/music/pretty-girls-like-trap-music/2-chainz,http://static.metacritic.com/images/products/music/3/f6e38f1d26c8c4325f03802aa007a8df-98.jpg,82,7.3
3bbc2477-cc41-430f-8e5e-b66e222f1cde,200 Years,200 Years,"{Pop/Rock,'"Adult Alternative'",'"Alternative/Indie Rock'"}",/music/200-years/200-years,http://static.metacritic.com/images/products/music/5/0c588cf5990b25b6fbd9edafc3a4e246-98.jpg,59,
